# lams weight z
4.300000000000000000e+01 1.798647010686236899e+06 1.169999999999999929e+00
2.600000000000000000e+01 3.586964822605291847e+06 1.330000000000000071e+00
2.200000000000000000e+01 1.682782591245849151e+06 1.050000000000000044e+00
3.200000000000000000e+01 1.381792513795012143e+06 8.499999999999999778e-01
2.100000000000000000e+01 1.183970255890077353e+07 9.399999999999999467e-01
3.400000000000000000e+01 2.619773557178958319e+06 9.399999999999999467e-01
2.200000000000000000e+01 6.421260266069803387e+06 1.139999999999999902e+00
3.500000000000000000e+01 1.391483718225198099e+06 1.030000000000000027e+00
3.500000000000000000e+01 9.401928386049760506e+06 1.189999999999999947e+00
3.300000000000000000e+01 1.954464527505964274e+06 1.090000000000000080e+00
3.200000000000000000e+01 7.403652063525418751e+06 1.020000000000000018e+00
4.000000000000000000e+01 1.350092146854009014e+06 9.699999999999999734e-01
5.800000000000000000e+01 2.053631461690610973e+06 9.000000000000000222e-01
3.100000000000000000e+01 2.332220036797464825e+06 9.599999999999999645e-01
2.800000000000000000e+01 2.908106496870785952e+06 8.599999999999999867e-01
4.800000000000000000e+01 1.417912308373945300e+06 1.280000000000000027e+00
3.000000000000000000e+01 2.336779564265961293e+06 1.139999999999999902e+00
2.900000000000000000e+01 1.861676710095648421e+06 1.270000000000000018e+00
2.900000000000000000e+01 1.012267276981660165e+07 8.299999999999999600e-01
3.200000000000000000e+01 9.991822139184053987e+06 9.699999999999999734e-01
3.500000000000000000e+01 1.757972424699609634e+06 9.799999999999999822e-01
3.000000000000000000e+01 1.479493398683718406e+06 9.599999999999999645e-01
2.600000000000000000e+01 2.136695552706202958e+06 9.699999999999999734e-01
2.300000000000000000e+01 2.899919444486936089e+06 1.050000000000000044e+00
2.500000000000000000e+01 2.352015286932178773e+06 9.399999999999999467e-01
5.700000000000000000e+01 1.627484844746115385e+06 9.699999999999999734e-01
2.300000000000000000e+01 1.789266255593988579e+06 9.599999999999999645e-01
3.100000000000000000e+01 1.506223387911292026e+06 1.050000000000000044e+00
2.800000000000000000e+01 1.507902307139327750e+06 1.060000000000000053e+00
3.000000000000000000e+01 1.472096141234396026e+06 1.080000000000000071e+00
4.400000000000000000e+01 1.945352598319146084e+06 9.799999999999999822e-01
3.500000000000000000e+01 7.392550878270623274e+06 1.449999999999999956e+00
2.500000000000000000e+01 2.091360814302891726e+06 7.900000000000000355e-01
4.200000000000000000e+01 1.507261378951783525e+06 1.080000000000000071e+00
3.700000000000000000e+01 1.991711211219772231e+06 8.900000000000000133e-01
3.400000000000000000e+01 1.884093120770708425e+06 7.600000000000000089e-01
3.100000000000000000e+01 2.013085109902975848e+06 9.699999999999999734e-01
2.700000000000000000e+01 1.865512223707626341e+06 1.360000000000000098e+00
2.700000000000000000e+01 1.439425452304432634e+06 9.799999999999999822e-01
3.000000000000000000e+01 2.844512428160024807e+06 8.599999999999999867e-01
4.700000000000000000e+01 1.872589062815222424e+06 9.899999999999999911e-01
4.200000000000000000e+01 7.755013404806588776e+06 1.159999999999999920e+00
5.800000000000000000e+01 3.805462971689512953e+06 8.199999999999999512e-01
2.900000000000000000e+01 2.030609159376747906e+06 1.050000000000000044e+00
3.500000000000000000e+01 1.922091727144130506e+06 1.020000000000000018e+00
2.500000000000000000e+01 4.220558136177030392e+06 1.189999999999999947e+00
3.400000000000000000e+01 1.445619093729909277e+06 1.050000000000000044e+00
3.100000000000000000e+01 2.279647744358271360e+06 1.030000000000000027e+00
2.800000000000000000e+01 2.307104223500322551e+06 1.080000000000000071e+00
2.600000000000000000e+01 2.036317920955743408e+06 8.900000000000000133e-01
4.800000000000000000e+01 2.281758024856036063e+06 1.030000000000000027e+00
2.400000000000000000e+01 2.085983439717889996e+06 1.209999999999999964e+00
3.600000000000000000e+01 7.476214639128806069e+06 1.100000000000000089e+00
4.200000000000000000e+01 9.000574878869773820e+06 9.699999999999999734e-01
2.700000000000000000e+01 2.069641097100789892e+06 1.010000000000000009e+00
2.400000000000000000e+01 2.508039869877515826e+06 1.189999999999999947e+00
2.700000000000000000e+01 1.538236691902282881e+06 9.100000000000000311e-01
8.700000000000000000e+01 2.040454219477948733e+06 1.129999999999999893e+00
