# lams weight z
4.300000000000000000e+01 1.915152534279220272e+06 1.169999999999999929e+00
2.600000000000000000e+01 3.959406538686566520e+06 1.330000000000000071e+00
2.200000000000000000e+01 1.784263200548560126e+06 1.050000000000000044e+00
3.200000000000000000e+01 1.451597762907947414e+06 8.499999999999999778e-01
2.100000000000000000e+01 1.363495405600623973e+07 9.399999999999999467e-01
3.400000000000000000e+01 2.844640089768026955e+06 9.399999999999999467e-01
2.200000000000000000e+01 7.286729286196149886e+06 1.139999999999999902e+00
3.500000000000000000e+01 1.461633176708301762e+06 1.030000000000000027e+00
3.500000000000000000e+01 1.080220403673676401e+07 1.189999999999999947e+00
3.300000000000000000e+01 2.085491752157339593e+06 1.090000000000000080e+00
3.200000000000000000e+01 8.450472201987870038e+06 1.020000000000000018e+00
4.000000000000000000e+01 1.414807941342331935e+06 9.699999999999999734e-01
5.800000000000000000e+01 2.198668181106415577e+06 9.000000000000000222e-01
3.100000000000000000e+01 2.515567776748321485e+06 9.599999999999999645e-01
2.800000000000000000e+01 3.172008653970803600e+06 8.599999999999999867e-01
4.800000000000000000e+01 1.491334946849099360e+06 1.280000000000000027e+00
3.000000000000000000e+01 2.517114322292319033e+06 1.139999999999999902e+00
2.900000000000000000e+01 1.985929876087927260e+06 1.270000000000000018e+00
2.900000000000000000e+01 1.161263954015357234e+07 8.299999999999999600e-01
3.200000000000000000e+01 1.148053567389805056e+07 9.699999999999999734e-01
3.500000000000000000e+01 1.868563825698802248e+06 9.799999999999999822e-01
3.000000000000000000e+01 1.559054728889932157e+06 9.599999999999999645e-01
2.600000000000000000e+01 2.292532866576848552e+06 9.699999999999999734e-01
2.300000000000000000e+01 3.162284065254414920e+06 1.050000000000000044e+00
2.500000000000000000e+01 2.536236649551980663e+06 9.399999999999999467e-01
5.700000000000000000e+01 1.724351720509562874e+06 9.699999999999999734e-01
2.300000000000000000e+01 1.903448768980665365e+06 9.599999999999999645e-01
3.100000000000000000e+01 1.587469881223360775e+06 1.050000000000000044e+00
2.800000000000000000e+01 1.589526280422171578e+06 1.060000000000000053e+00
3.000000000000000000e+01 1.550723803678300465e+06 1.080000000000000071e+00
4.400000000000000000e+01 2.079045219927888131e+06 9.799999999999999822e-01
3.500000000000000000e+01 8.450922467685602605e+06 1.449999999999999956e+00
2.500000000000000000e+01 2.242805453544068616e+06 7.900000000000000355e-01
4.200000000000000000e+01 1.589266737703294726e+06 1.080000000000000071e+00
3.700000000000000000e+01 2.129198685070000589e+06 8.900000000000000133e-01
3.400000000000000000e+01 2.010710685074698878e+06 7.600000000000000089e-01
3.100000000000000000e+01 2.150442849332739599e+06 9.699999999999999734e-01
2.700000000000000000e+01 1.989208158123198198e+06 1.360000000000000098e+00
2.700000000000000000e+01 1.514008250075507909e+06 9.799999999999999822e-01
3.000000000000000000e+01 3.097119719096419867e+06 8.599999999999999867e-01
4.700000000000000000e+01 1.996470824900694424e+06 9.899999999999999911e-01
4.200000000000000000e+01 8.855774874292809516e+06 1.159999999999999920e+00
5.800000000000000000e+01 4.211293288364314474e+06 8.199999999999999512e-01
2.900000000000000000e+01 2.172736030236112885e+06 1.050000000000000044e+00
3.500000000000000000e+01 2.052770975973737193e+06 1.020000000000000018e+00
2.500000000000000000e+01 4.692833487509892322e+06 1.189999999999999947e+00
3.400000000000000000e+01 1.520645134812414180e+06 1.050000000000000044e+00
3.100000000000000000e+01 2.454779830224857666e+06 1.030000000000000027e+00
2.800000000000000000e+01 2.484183291663881857e+06 1.080000000000000071e+00
2.600000000000000000e+01 2.180405554968029726e+06 8.900000000000000133e-01
4.800000000000000000e+01 2.456069661859926302e+06 1.030000000000000027e+00
2.400000000000000000e+01 2.237199706356077455e+06 1.209999999999999964e+00
3.600000000000000000e+01 8.532343198759328574e+06 1.100000000000000089e+00
4.200000000000000000e+01 1.031198913896730356e+07 9.699999999999999734e-01
2.700000000000000000e+01 2.221186022338077892e+06 1.010000000000000009e+00
